HMDBID,Genus,Metabolite,Health effect,Health effect Class,Organoleptic effect,Correlation_Type,Control,Obesity,T2D
HMDB0000254,Elusimicrobium,succinic acid,Intervention,General,Taste,negative,-0.513049517,-0.472938104,-0.133071848
HMDB0000254,Escherichia,succinic acid,Intervention,General,Taste,negative,-0.649937144,-0.378615521,-0.208231025
HMDB0000254,Escherichia-Shigella,succinic acid,Intervention,General,Taste,negative,-0.636338998,-0.307409339,-0.309619225
HMDB0000254,Family_XIII_UCG-001,succinic acid,Intervention,General,Taste,negative,-0.465967478,-0.390754276,-0.224447632
HMDB0000254,Flavonifractor,succinic acid,Intervention,General,Taste,negative,-0.450481853,-0.371292142,-0.455092602
HMDB0000254,Helicobacter,succinic acid,Intervention,General,Taste,negative,-0.468328157,-0.582130726,-0.135977509
HMDB0000254,Lactococcus,succinic acid,Intervention,General,Taste,negative,-0.300181915,-0.474869808,-0.373659431
HMDB0000254,Megamonas,succinic acid,Intervention,General,Taste,negative,-0.498885438,-0.370475354,-0.445699661
HMDB0000254,Monoglobus,succinic acid,Intervention,General,Taste,negative,-0.585967478,-0.382640886,-0.226169763
HMDB0000254,Muribaculaceae,succinic acid,Intervention,General,Taste,negative,-0.604972898,-0.374888623,-0.493102853
HMDB0000254,Odoribacter,succinic acid,Intervention,General,Taste,positive,0.515737865,0.544857964,0.29386568
HMDB0000254,Oribacterium,succinic acid,Intervention,General,Taste,positive,0.32,0.42391165,0.302764652
HMDB0000254,Phascolarctobacterium,succinic acid,Intervention,General,Taste,negative,-0.375218299,-0.355097801,-0.289294345
HMDB0000254,Prevotellaceae_UCG-003,succinic acid,Intervention,General,Taste,positive,0.5,0.238311294,0.124642489
HMDB0000254,Rikenellaceae_RC9_gut_group,succinic acid,Intervention,General,Taste,positive,0.560519567,0.249075896,0.36263665
HMDB0000254,UCG-003,succinic acid,Intervention,General,Taste,positive,0.63441632,0.287441468,0.271100994
HMDB0000718,Coprococcus,isovaleric acid,Supragingival Plaque,Dental,Odor,positive,0.405418442,0.408565762,0.607868254
HMDB0000718,Treponema,isovaleric acid,Supragingival Plaque,Dental,Odor,negative,-0.434803904,-0.296624786,-0.494081618
HMDB0000684,Acidaminococcus,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.51315472,0.189310058,0.526918773
HMDB0000684,Agathobacter,kynurenine,Psychiatric disorder,Psychiatric,,negative,-0.471682715,-0.19470328,-0.379624311
HMDB0000684,Agathobacter,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.437954445,0.157572573,0.51316432
HMDB0000684,Allisonella,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.381185776,0.40255709,0.244353388
HMDB0000684,Alloprevotella,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.48825273,0.324783883,0.416171779
HMDB0000684,Avibacterium,kynurenine,Psychiatric disorder,Psychiatric,,negative,-0.46589205,-0.278774751,-0.249075896
HMDB0000684,CAG-352,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.561085089,0.367746772,0.298345818
HMDB0000684,Colidextribacter,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.501581034,0.241716408,0.168341384
HMDB0000684,Collinsella,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.507308682,0.241944081,0.179528588
HMDB0000684,Coprococcus,kynurenine,Psychiatric disorder,Psychiatric,,negative,-0.571385218,-0.293513301,-0.33657901
HMDB0000684,Elusimicrobium,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.487765413,0.40397303,0.519992539
HMDB0000684,GCA-900066575,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.510041543,0.300068141,0.156172743
HMDB0000684,Herbaspirillum,kynurenine,Psychiatric disorder,Psychiatric,,negative,-0.469138789,-0.416482349,-0.34359974
HMDB0000684,Intestinibacter,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.476954065,0.368777018,0.135097282
HMDB0000684,Lachnospiraceae_UCG-010,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.427879296,0.29895684,0.27156143
HMDB0000684,Libanicoccus,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.455601366,0.467891309,0.357930836
HMDB0000684,Megasphaera,kynurenine,Psychiatric disorder,Psychiatric,,negative,-0.562966547,-0.287653451,-0.437008231
HMDB0000684,Methylobacterium-Methylorubrum,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.644215889,0.437262196,0.323849767
HMDB0000684,Romboutsia,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.381934306,0.387850905,0.351980816
HMDB0000684,Roseburia,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.403546456,0.223002611,0.282973473
HMDB0000684,Sphingomonas,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.510041543,0.437770066,0.364083562
HMDB0000684,UCG-002,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.635571924,0.248355705,0.199389688
HMDB0000684,UCG-003,kynurenine,Psychiatric disorder,Psychiatric,,positive,0.458131537,0.315735773,0.462944383
HMDB0000251,Aeromonas,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.42,-0.418310802,-0.431887994
HMDB0000251,Allisonella,taurine,Psychiatric disorder,Psychiatric,Odor,positive,0.5,0.407967656,0.510204082
HMDB0000251,Asteroleplasma,taurine,Psychiatric disorder,Psychiatric,Odor,positive,0.366666667,0.5581265,0.527080627
HMDB0000251,Avibacterium,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.371428571,-0.386757094,-0.497142857
HMDB0000251,Barnesiella,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.44,-0.41772683,-0.474285714
HMDB0000251,Butyricicoccus,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.483333333,-0.634862785,-0.2
HMDB0000251,Butyricimonas,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.44,-0.470406771,-0.36
HMDB0000251,Colidextribacter,taurine,Psychiatric disorder,Psychiatric,Odor,positive,0.38,0.326631957,0.44
HMDB0000251,Desulfovibrio,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.64,-0.499270142,-0.451428571
HMDB0000251,Monoglobus,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.490710678,-0.358055617,-0.243755365
HMDB0000251,Neisseria,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.58825273,-0.330306035,-0.452480592
HMDB0000251,Treponema,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.635383742,-0.232867406,-0.407501694
HMDB0000251,UCG-009,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.468656793,-0.566398719,-0.388683606
HMDB0000251,Weissella,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.44,-0.463364693,-0.405714286
HMDB0000251,Xenorhabdus,taurine,Psychiatric disorder,Psychiatric,Odor,negative,-0.645250224,-0.453394714,-0.443865676
HMDB0032566,Agathobacter,hexachlorobenzene,Porphyria,Metabolic,,negative,-0.608328157,-0.535636907,-0.283438828
HMDB0032566,Coprococcus,hexachlorobenzene,Porphyria,Metabolic,,positive,0.476289489,0.313604964,0.528155121
HMDB0032566,Escherichia,hexachlorobenzene,Porphyria,Metabolic,,negative,-0.547536938,-0.288906404,-0.342733214
HMDB0032566,UCG-009,hexachlorobenzene,Porphyria,Metabolic,,negative,-0.348653058,-0.283295581,-0.338788587
HMDB0031766,Acidaminococcus,alachlor,Nervous system disorder,Neurological,,negative,-0.341883153,-0.317136599,-0.374697125
HMDB0031766,Acinetobacter,alachlor,Nervous system disorder,Neurological,,negative,-0.355784675,-0.444607825,-0.457554208
HMDB0031766,Allisonella,alachlor,Nervous system disorder,Neurological,,positive,0.329150953,0.558771524,0.523673925
HMDB0031766,Anaerobiospirillum,alachlor,Nervous system disorder,Neurological,,negative,-0.496524758,-0.376358458,-0.266864464
HMDB0031766,Butyricicoccus,alachlor,Nervous system disorder,Neurological,,negative,-0.382404532,-0.501367291,-0.321223924
HMDB0031766,CAG-352,alachlor,Nervous system disorder,Neurological,,positive,0.359702503,0.317136599,0.309089718
HMDB0031766,Coprococcus,alachlor,Nervous system disorder,Neurological,,positive,0.256334672,0.375890112,0.495993666
HMDB0031766,Defluviitaleaceae_UCG-011,alachlor,Nervous system disorder,Neurological,,negative,-0.308534105,-0.389905647,-0.455802218
HMDB0031766,Escherichia,alachlor,Nervous system disorder,Neurological,,negative,-0.463770632,-0.185189929,-0.318040903
HMDB0031766,Lactococcus,alachlor,Nervous system disorder,Neurological,,negative,-0.366039134,-0.41980508,-0.372159762
HMDB0031766,Muribaculaceae,alachlor,Nervous system disorder,Neurological,,negative,-0.418885438,-0.438548233,-0.374379153
HMDB0031766,Oscillibacter,alachlor,Nervous system disorder,Neurological,,negative,-0.42,-0.383756718,-0.415882656
HMDB0031766,Treponema,alachlor,Nervous system disorder,Neurological,,negative,-0.398721401,-0.29764856,-0.292384784
HMDB0031766,UCG-009,alachlor,Nervous system disorder,Neurological,,negative,-0.243495889,-0.3872093,-0.403346265
HMDB0031769,Acidaminococcus,carbendazim,Nervous system disorder,Neurological,,positive,0.507450143,0.418121385,0.342891909
HMDB0031769,Lachnospiraceae_UCG-010,carbendazim,Nervous system disorder,Neurological,,positive,0.40279627,0.497815193,0.429461004
HMDB0031769,Phascolarctobacterium,carbendazim,Nervous system disorder,Neurological,,positive,0.399436143,0.40059327,0.44326812
HMDB0031769,Prevotellaceae_UCG-003,carbendazim,Nervous system disorder,Neurological,,positive,0.299930088,0.433346003,0.376604775
HMDB0039815,Acidaminococcus,flusilazole,Nervous system disorder,Neurological,,negative,-0.554800411,-0.636807487,-0.438556316
HMDB0039815,Aeromonas,flusilazole,Nervous system disorder,Neurological,,negative,-0.314981143,-0.401943789,-0.594691596
HMDB0039815,Allisonella,flusilazole,Nervous system disorder,Neurological,,positive,0.370601133,0.608792876,0.451125537
HMDB0039815,Butyricicoccus,flusilazole,Nervous system disorder,Neurological,,negative,-0.38076043,-0.597803222,-0.278045463
HMDB0039815,Comamonas,flusilazole,Nervous system disorder,Neurological,,negative,-0.631621762,-0.389687023,-0.322797314
HMDB0039815,Coriobacteriaceae_UCG-003,flusilazole,Nervous system disorder,Neurological,,negative,-0.502174344,-0.369405671,-0.154672556
HMDB0039815,Defluviitaleaceae_UCG-011,flusilazole,Nervous system disorder,Neurological,,negative,-0.463885438,-0.34209964,-0.502984708
HMDB0039815,Dorea,flusilazole,Nervous system disorder,Neurological,,negative,-0.539235033,-0.42232534,-0.29842216
HMDB0039815,Howardella,flusilazole,Nervous system disorder,Neurological,,negative,-0.490737865,-0.491445274,-0.467678698
HMDB0039815,Intestinibacter,flusilazole,Nervous system disorder,Neurological,,negative,-0.467225211,-0.328316004,-0.173870052
HMDB0039815,Lachnospira,flusilazole,Nervous system disorder,Neurological,,negative,-0.299814064,-0.388607336,-0.504570072
HMDB0039815,Lachnospiraceae_UCG-010,flusilazole,Nervous system disorder,Neurological,,negative,-0.568138071,-0.520539077,-0.352850678
HMDB0039815,Lactococcus,flusilazole,Nervous system disorder,Neurological,,negative,-0.528782036,-0.442555855,-0.442936087
HMDB0039815,Methanobrevibacter,flusilazole,Nervous system disorder,Neurological,,negative,-0.449538758,-0.410050699,-0.282273499
HMDB0039815,Oscillibacter,flusilazole,Nervous system disorder,Neurological,,negative,-0.4,-0.378520026,-0.496655057
HMDB0039815,Phascolarctobacterium,flusilazole,Nervous system disorder,Neurological,,negative,-0.535218299,-0.269094955,-0.258459898
HMDB0039815,Prevotellaceae_UCG-003,flusilazole,Nervous system disorder,Neurological,,negative,-0.530203751,-0.463172407,-0.182391917
HMDB0039815,Rikenellaceae_RC9_gut_group,flusilazole,Nervous system disorder,Neurological,,negative,-0.583606798,-0.656509583,-0.275734304
HMDB0039815,Roseburia,flusilazole,Nervous system disorder,Neurological,,positive,0.473049517,0.451313892,0.504581913
HMDB0039815,Shewanella,flusilazole,Nervous system disorder,Neurological,,negative,-0.38044987,-0.195474836,-0.275904098
HMDB0039815,Solobacterium,flusilazole,Nervous system disorder,Neurological,,negative,-0.471517216,-0.413782771,-0.390523478
HMDB0039815,Subdoligranulum,flusilazole,Nervous system disorder,Neurological,,negative,-0.52472136,-0.446991155,-0.466423703
HMDB0000684,Acidaminococcus,kynurenine,Nervous system disorder,Neurological,,positive,0.51315472,0.189310058,0.526918773
HMDB0000684,Agathobacter,kynurenine,Nervous system disorder,Neurological,,negative,-0.471682715,-0.19470328,-0.379624311
HMDB0000684,Agathobacter,kynurenine,Nervous system disorder,Neurological,,positive,0.437954445,0.157572573,0.51316432
HMDB0000684,Allisonella,kynurenine,Nervous system disorder,Neurological,,positive,0.381185776,0.40255709,0.244353388
HMDB0000684,Alloprevotella,kynurenine,Nervous system disorder,Neurological,,positive,0.48825273,0.324783883,0.416171779
HMDB0000684,Avibacterium,kynurenine,Nervous system disorder,Neurological,,negative,-0.46589205,-0.278774751,-0.249075896
HMDB0000684,CAG-352,kynurenine,Nervous system disorder,Neurological,,positive,0.561085089,0.367746772,0.298345818
HMDB0000684,Colidextribacter,kynurenine,Nervous system disorder,Neurological,,positive,0.501581034,0.241716408,0.168341384
HMDB0000684,Collinsella,kynurenine,Nervous system disorder,Neurological,,positive,0.507308682,0.241944081,0.179528588
HMDB0000684,Coprococcus,kynurenine,Nervous system disorder,Neurological,,negative,-0.571385218,-0.293513301,-0.33657901
HMDB0000684,Elusimicrobium,kynurenine,Nervous system disorder,Neurological,,positive,0.487765413,0.40397303,0.519992539
HMDB0000684,GCA-900066575,kynurenine,Nervous system disorder,Neurological,,positive,0.510041543,0.300068141,0.156172743
HMDB0000684,Herbaspirillum,kynurenine,Nervous system disorder,Neurological,,negative,-0.469138789,-0.416482349,-0.34359974
HMDB0000684,Intestinibacter,kynurenine,Nervous system disorder,Neurological,,positive,0.476954065,0.368777018,0.135097282
HMDB0000684,Lachnospiraceae_UCG-010,kynurenine,Nervous system disorder,Neurological,,positive,0.427879296,0.29895684,0.27156143
HMDB0000684,Libanicoccus,kynurenine,Nervous system disorder,Neurological,,positive,0.455601366,0.467891309,0.357930836
HMDB0000684,Megasphaera,kynurenine,Nervous system disorder,Neurological,,negative,-0.562966547,-0.287653451,-0.437008231
HMDB0000684,Methylobacterium-Methylorubrum,kynurenine,Nervous system disorder,Neurological,,positive,0.644215889,0.437262196,0.323849767
HMDB0000684,Romboutsia,kynurenine,Nervous system disorder,Neurological,,positive,0.381934306,0.387850905,0.351980816
HMDB0000684,Roseburia,kynurenine,Nervous system disorder,Neurological,,positive,0.403546456,0.223002611,0.282973473
HMDB0000684,Sphingomonas,kynurenine,Nervous system disorder,Neurological,,positive,0.510041543,0.437770066,0.364083562
HMDB0000684,UCG-002,kynurenine,Nervous system disorder,Neurological,,positive,0.635571924,0.248355705,0.199389688
HMDB0000684,UCG-003,kynurenine,Nervous system disorder,Neurological,,positive,0.458131537,0.315735773,0.462944383
HMDB0001389,Acidaminococcus,melatonin,Nervous system disorder,Neurological,,negative,-0.498753486,-0.352243187,-0.409212475
HMDB0001389,Agathobacter,melatonin,Nervous system disorder,Neurological,,negative,-0.659038835,-0.31887407,-0.285778221
HMDB0001389,Allisonella,melatonin,Nervous system disorder,Neurological,,positive,0.519301212,0.199171542,0.535712433
HMDB0001389,Alloprevotella,melatonin,Nervous system disorder,Neurological,,negative,-0.552873011,-0.396055128,-0.479833574
HMDB0001389,Bacteroides,melatonin,Nervous system disorder,Neurological,,positive,0.368583615,0.44559392,0.258030459
HMDB0001389,Collinsella,melatonin,Nervous system disorder,Neurological,,negative,-0.508387898,-0.355376023,-0.315373604
HMDB0001389,Coprobacter,melatonin,Nervous system disorder,Neurological,,negative,-0.568443054,-0.199343784,-0.28364264
HMDB0001389,Coprococcus,melatonin,Nervous system disorder,Neurological,,positive,0.537801048,0.298633003,0.445129725
HMDB0001389,Elusimicrobium,melatonin,Nervous system disorder,Neurological,,negative,-0.482514077,-0.351908414,-0.428375885
HMDB0001389,Lactococcus,melatonin,Nervous system disorder,Neurological,,negative,-0.287109442,-0.402968322,-0.242537242
HMDB0001389,Methylobacterium-Methylorubrum,melatonin,Nervous system disorder,Neurological,,negative,-0.351312295,-0.225870868,-0.297268289
HMDB0001389,Phascolarctobacterium,melatonin,Nervous system disorder,Neurological,,negative,-0.513007376,-0.402213667,-0.265641395
HMDB0001389,Prevotellaceae_UCG-003,melatonin,Nervous system disorder,Neurological,,negative,-0.321882322,-0.339061624,-0.368915184
HMDB0001389,Rikenellaceae_RC9_gut_group,melatonin,Nervous system disorder,Neurological,,positive,0.497944768,0.259445089,0.57592035
HMDB0001389,Romboutsia,melatonin,Nervous system disorder,Neurological,,negative,-0.420153397,-0.159786748,-0.373001915
HMDB0001389,Sphingomonas,melatonin,Nervous system disorder,Neurological,,negative,-0.332053398,-0.242391594,-0.467258228
HMDB0001389,UCG-002,melatonin,Nervous system disorder,Neurological,,negative,-0.434837043,-0.218394227,-0.4684954
HMDB0001389,UCG-005,melatonin,Nervous system disorder,Neurological,,negative,-0.578597897,-0.092179393,-0.449380349
HMDB0001389,UCG-009,melatonin,Nervous system disorder,Neurological,,negative,-0.467564072,-0.20490394,-0.315778623
HMDB0031802,Acidaminococcus,metalaxyl,Nervous system disorder,Neurological,,negative,-0.303743519,-0.304993065,-0.443015015
HMDB0031802,Acinetobacter,metalaxyl,Nervous system disorder,Neurological,,negative,-0.36969927,-0.456751359,-0.406594205
HMDB0031802,CAG-352,metalaxyl,Nervous system disorder,Neurological,,positive,0.439059747,0.304993065,0.237141325
HMDB0031802,Coprococcus,metalaxyl,Nervous system disorder,Neurological,,positive,0.517445616,0.375890112,0.475804686
HMDB0031802,Lachnospira,metalaxyl,Nervous system disorder,Neurological,,negative,-0.429442719,-0.396853615,-0.373272654
HMDB0031802,Roseburia,metalaxyl,Nervous system disorder,Neurological,,positive,0.594207931,0.319386498,0.467828458
HMDB0031802,UBA1819,metalaxyl,Nervous system disorder,Neurological,,negative,-0.545681295,-0.291872295,-0.480822435
HMDB0000254,Acidaminococcus,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.365760494,-0.28590981,-0.348398354
HMDB0000254,Acinetobacter,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.500459225,-0.57836211,-0.46418902
HMDB0000254,Aeromonas,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.4872678,-0.327407026,-0.308980858
HMDB0000254,Agathobacter,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.575574031,-0.547922841,-0.343387263
HMDB0000254,Alistipes,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.443169499,0.35100561,0.448472999
HMDB0000254,Alloprevotella,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.529442719,0.512039991,0.321054219
HMDB0000254,Anaerobiospirillum,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.515737865,-0.542596638,-0.26832286
HMDB0000254,Asteroleplasma,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.45,0.438704877,0.314956481
HMDB0000254,Barnesiella,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.503606798,0.315376304,0.405481508
HMDB0000254,Butyricicoccus,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.508919936,-0.412868244,-0.224206035
HMDB0000254,CAG-352,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.474952858,0.462499609,0.260983387
HMDB0000254,Christensenellaceae_R-7_group,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.515737865,-0.486657053,-0.178982716
HMDB0000254,Colidextribacter,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.463399814,0.204801663,0.166477463
HMDB0000254,Collinsella,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.345346933,0.373976708,0.286489614
HMDB0000254,Coprococcus,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.451803399,0.383589874,0.507845452
HMDB0000254,Elusimicrobium,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.513049517,-0.472938104,-0.133071848
HMDB0000254,Escherichia,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.649937144,-0.378615521,-0.208231025
HMDB0000254,Escherichia-Shigella,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.636338998,-0.307409339,-0.309619225
HMDB0000254,Family_XIII_UCG-001,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.465967478,-0.390754276,-0.224447632
HMDB0000254,Flavonifractor,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.450481853,-0.371292142,-0.455092602
HMDB0000254,Helicobacter,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.468328157,-0.582130726,-0.135977509
HMDB0000254,Lactococcus,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.300181915,-0.474869808,-0.373659431
HMDB0000254,Megamonas,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.498885438,-0.370475354,-0.445699661
HMDB0000254,Monoglobus,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.585967478,-0.382640886,-0.226169763
HMDB0000254,Muribaculaceae,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.604972898,-0.374888623,-0.493102853
HMDB0000254,Odoribacter,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.515737865,0.544857964,0.29386568
HMDB0000254,Oribacterium,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.32,0.42391165,0.302764652
HMDB0000254,Phascolarctobacterium,succinic acid,Nervous system disorder,Neurological,Taste,negative,-0.375218299,-0.355097801,-0.289294345
HMDB0000254,Prevotellaceae_UCG-003,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.5,0.238311294,0.124642489
HMDB0000254,Rikenellaceae_RC9_gut_group,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.560519567,0.249075896,0.36263665
HMDB0000254,UCG-003,succinic acid,Nervous system disorder,Neurological,Taste,positive,0.63441632,0.287441468,0.271100994
HMDB0000131,Acinetobacter,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.45763359,-0.352708415,-0.406835179
HMDB0000131,Anaerobiospirillum,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.478885438,-0.47942809,-0.31702
HMDB0000131,Butyricicoccus,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.497517685,-0.557710908,-0.347951759
HMDB0000131,Christensenellaceae_R-7_group,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.436524758,-0.490450736,-0.310797967
HMDB0000131,Coprococcus,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,positive,0.403934466,0.384696097,0.519767896
HMDB0000131,Helicobacter,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.558885438,-0.469760407,-0.277206433
HMDB0000131,Lachnospira,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.303934466,-0.466705238,-0.414318208
HMDB0000131,Lachnospiraceae_UCG-010,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.536524758,-0.347150217,-0.253604391
HMDB0000131,Weissella,"1,2,3-propanetriol",Nervous system disorder,Neurological,Odor,negative,-0.476524758,-0.613734808,-0.267432551
HMDB0012108,Acinetobacter,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Nervous system disorder,Neurological,Touch,negative,-0.627082039,-0.382511217,-0.482090893
HMDB0012108,Aeromonas,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Nervous system disorder,Neurological,Touch,positive,0.371467078,0.310183496,0.410622087
HMDB0012108,Lactococcus,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Nervous system disorder,Neurological,Touch,negative,-0.439867214,-0.504967742,-0.394270969
HMDB0012108,Pseudoflavonifractor,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Nervous system disorder,Neurological,Touch,negative,-0.379056942,-0.394286142,-0.374236238
HMDB0012108,Pseudomonas,1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Nervous system disorder,Neurological,Touch,negative,-0.503778301,-0.401167531,-0.402730306
HMDB0014693,Acinetobacter,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.410139317,-0.456751359,-0.455149432
HMDB0014693,Allisonella,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,positive,0.288133745,0.62733399,0.560150065
HMDB0014693,Anaerobiospirillum,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.583468106,-0.40515777,-0.267855074
HMDB0014693,Atopobium,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,positive,0.618885438,0.624442691,0.287756399
HMDB0014693,Christensenellaceae_R-7_group,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.532404532,-0.531826576,-0.315632154
HMDB0014693,Coprococcus,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,positive,0.406171957,0.375890112,0.545442617
HMDB0014693,Defluviitaleaceae_UCG-011,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.486087941,-0.461125542,-0.408054873
HMDB0014693,Helicobacter,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.470421511,-0.510327812,-0.269358825
HMDB0014693,Howardella,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.614442719,-0.46037811,-0.200655828
HMDB0014693,Lachnospira,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.562017926,-0.469463104,-0.49344806
HMDB0014693,Lactococcus,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.589087864,-0.463789205,-0.475122883
HMDB0014693,Megasphaera,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,positive,0.425325324,0.319939981,0.288173447
HMDB0014693,Phascolarctobacterium,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.343636969,-0.373446061,-0.384797062
HMDB0014693,Shewanella,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.432408917,-0.23607813,-0.346608657
HMDB0014693,UCG-009,8-methoxypsoralen,Nervous system disorder,Neurological,Odor,negative,-0.557999007,-0.457889926,-0.41365098
HMDB0000462,Acinetobacter,allantoin,Nervous system disorder,Neurological,,negative,-0.3992814,-0.328421345,-0.44502982
HMDB0000462,Agathobacter,allantoin,Nervous system disorder,Neurological,,negative,-0.582404532,-0.54921898,-0.257063309
HMDB0000462,Allisonella,allantoin,Nervous system disorder,Neurological,,positive,0.323486861,0.558066561,0.500124904
HMDB0000462,Anaerobiospirillum,allantoin,Nervous system disorder,Neurological,,negative,-0.496524758,-0.448626035,-0.248940212
HMDB0000462,Butyricimonas,allantoin,Nervous system disorder,Neurological,,negative,-0.508121173,-0.477131194,-0.37982919
HMDB0000462,CAG-352,allantoin,Nervous system disorder,Neurological,,negative,-0.612338052,-0.225237189,-0.347900355
HMDB0000462,Colidextribacter,allantoin,Nervous system disorder,Neurological,,negative,-0.549071198,-0.31684602,-0.313343259
HMDB0000462,Comamonas,allantoin,Nervous system disorder,Neurological,,negative,-0.717946115,-0.417080913,-0.181444961
HMDB0000462,Defluviitaleaceae_UCG-011,allantoin,Nervous system disorder,Neurological,,negative,-0.524284542,-0.389905647,-0.392362738
HMDB0000462,Desulfovibrio,allantoin,Nervous system disorder,Neurological,,negative,-0.582404532,-0.386949363,-0.422458182
HMDB0000462,Gastranaerophilales,allantoin,Nervous system disorder,Neurological,,negative,-0.586740692,-0.439326079,-0.363519394
HMDB0000462,Lachnospira,allantoin,Nervous system disorder,Neurological,,negative,-0.505901699,-0.478848773,-0.430835098
HMDB0000462,Lactococcus,allantoin,Nervous system disorder,Neurological,,negative,-0.505700041,-0.504967742,-0.50613982
HMDB0000462,Prevotella,allantoin,Nervous system disorder,Neurological,,positive,0.36,0.228691818,0.308462941
